product_line,product_type,sku,width,height,shape,description,tier_compatibility,booth_size_min,booth_size_max,features,is_active
Formulate Essential,Banner Display,FML-T-E-S-600-2,8',91.63",Straight,"8' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Perfect for compact spaces and budget-conscious displays.","[""Budget"", ""Hybrid""]",64,150,,true
Formulate Essential,Banner Display,FML-T-E-S-800-2,10',91.63",Straight,"10' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Ideal for standard booth backwalls.","[""Budget"", ""Hybrid""]",100,200,,true
Formulate Essential,Banner Display,FML-T-E-S-850-2,12',91.63",Straight,"12' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Great for larger booth configurations.","[""Budget"", ""Hybrid""]",120,300,,true
Formulate Essential,Banner Display,FML-T-E-S-920-2,15',91.63",Straight,"15' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Excellent for prominent booth presence.","[""Hybrid"", ""Custom""]",150,400,,true
Formulate Essential,Banner Display,FML-T-E-S-1000-2,20',91.63",Straight,"20' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Perfect for large booth backwalls and island exhibits.","[""Hybrid"", ""Custom""]",200,600,,true
Formulate Essential,Banner Display,FML-T-E-S-1200-2,24',91.63",Straight,"24' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Ideal for expansive booth displays.","[""Custom""]",400,800,,true
Formulate Essential,Banner Display,FML-T-E-S-1500-2,30',91.63",Straight,"30' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Maximum impact for large island booths.","[""Custom""]",600,1200,,true
Formulate Essential,Tabletop,FML-T-ESS-STT-01,6'3",60.25",Straight,"8' tabletop economy aluminum tube frame with bungee cords and rounded corners. Features easy-to-apply pillowcase fabric graphic. Fits on standard 8' table. Includes canvas carry bag. Perfect for small spaces and tabletop presentations.","[""Budget"", ""Hybrid""]",0,100,,true
Formulate Essential,Display,FML-T-ESS-S08-01,8',89.25",Straight,"8' straight economy aluminum tube frame display with bungee cords, rounded corners, and pillowcase fabric graphic. Includes canvas carry bag. Ideal for professional presentations in compact spaces.","[""Budget"", ""Hybrid""]",64,150,,true
Formulate Essential,Display,FML-T-ESS-S10-01,10',89.25",Straight,"10' straight economy aluminum tube frame display with bungee cords, rounded corners, and pillowcase fabric graphic. Includes canvas carry bag. Perfect for standard booth configurations.","[""Budget"", ""Hybrid""]",100,200,,true
Formulate Essential,Display,FML-T-ESS-SC10-01,10',89.25",Serpentine Curved,"10' serpentine curved economy aluminum tube frame display with bungee cords and pillowcase fabric graphic. Creates dynamic visual interest. Includes canvas carry bag. Adds visual flow to booth designs.","[""Hybrid"", ""Custom""]",100,300,,true
